SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733470115,3.04722,-10.382904,-0.373495,0.567022,-0.594769,0.209336,-6.914841,-76.960541,-633.617615
1733470116,2.855983,-10.974123,-0.399233,0.610522,-0.433069,0.337424,-6.885666,-77.239975,-633.62793
1733470116,2.73358,-11.265317,-0.254833,0.595393,-0.188544,0.451608,-7.422821,-77.241302,-633.64563
1733470116,2.218826,-11.837083,-0.257377,0.61696,-0.060738,0.45623,-7.448166,-77.54895,-633.476746
1733470116,1.024718,-12.183344,-0.205602,0.581074,-0.068387,0.318365,-7.691055,-77.889236,-632.84436
1733470116,-0.117316,-12.639589,0.243311,0.601787,-0.25731,0.070713,-8.075851,-78.044662,-633.628784
1733470116,-0.772729,-13.566893,0.62758,0.653479,-0.647547,-0.340464,-8.090286,-78.204727,-633.048706
1733470116,-1.667561,-14.148684,1.156399,0.641621,-1.130675,-0.782794,-7.491028,-78.065735,-632.70752
1733470116,-1.520168,-13.475764,1.192312,0.604819,-1.65791,-1.127023,-7.218155,-77.887375,-633.578979
1733470116,-1.231368,-12.916119,0.269348,0.655959,-2.179936,-1.366594,-7.260422,-77.483627,-633.162598
1733470116,-1.262193,-12.607866,-1.42455,0.875513,-2.570292,-1.549528,-7.072433,-77.131058,-634.138916
1733470116,-1.15191,-12.366201,-3.066523,1.250793,-2.862923,-1.71042,-6.950851,-76.967255,-634.889893
1733470116,-0.85069,-12.201749,-4.314052,1.704486,-2.993024,-1.867842,-6.814545,-76.650269,-634.472168
1733470116,-0.518494,-11.829451,-4.807557,2.145463,-3.059081,-2.009226,-6.486847,-76.491684,-635.41272
1733470116,-0.256928,-11.372458,-4.062362,2.466189,-3.114965,-2.161455,-6.38298,-76.324203,-634.547119
1733470116,0.039504,-11.145308,-3.124882,2.621361,-3.059579,-2.305458,-6.138062,-76.120499,-635.441406
1733470116,0.57386,-10.658537,-2.116474,2.624655,-2.975571,-2.412929,-5.92662,-75.806046,-635.058289
1733470116,1.208174,-10.070162,-0.666037,2.540801,-3.059592,-2.503084,-5.668335,-75.799774,-634.658813
1733470116,1.4657,-9.808745,0.730232,2.446527,-3.426813,-2.638642,-5.824463,-75.389038,-635.621765
1733470116,1.490391,-9.466524,1.094599,2.414522,-3.961308,-2.82614,-5.375671,-74.97641,-635.364258
1733470116,1.61444,-8.915558,0.112827,2.550003,-4.438705,-2.985236,-5.081879,-74.343994,-636.145447
1733470116,1.490391,-8.425495,-1.186028,2.812719,-4.730207,-3.155914,-4.981613,-73.892273,-636.428894
1733470116,1.151312,-8.025813,-2.743157,3.04922,-4.65893,-3.357698,-4.837723,-73.416611,-637.764587
1733470116,1.41632,-7.866,-3.60866,3.223419,-4.445075,-3.590084,-4.3694,-72.963104,-638.179504
1733470116,2.035969,-6.900388,-2.988712,3.421493,-4.390781,-3.769064,-4.494705,-72.581528,-638.288574
1733470116,2.435801,-6.5655,-2.372953,3.519606,-4.32719,-4.020681,-4.200439,-71.989136,-638.496216
1733470116,3.413084,-6.002114,-1.228225,3.368304,-4.347206,-4.193752,-3.725601,-71.134567,-639.708557
1733470116,4.434061,-4.694281,-0.002394,2.966234,-4.237336,-4.273598,-2.886063,-70.215195,-638.954224
1733470116,4.994005,-3.755904,-0.071227,2.514219,-3.858299,-4.233129,-2.503082,-69.268936,-640.068176
1733470116,5.128081,-3.172766,-0.353145,2.188602,-3.472948,-4.128119,-2.291489,-68.439087,-640.169678
1733470116,5.288941,-3.040935,-0.426467,1.893632,-3.108176,-4.020964,-1.853989,-67.444,-640.951172
1733470116,5.609465,-2.831293,-0.523133,1.570166,-2.717839,-3.906526,-1.431595,-66.236679,-642.022583
1733470116,5.887492,-2.143708,-0.444573,1.206729,-2.27134,-3.720249,-0.828659,-65.058899,-641.986389
1733470116,5.785139,-1.246332,-1.080533,0.833671,-1.681651,-3.437253,-0.622299,-64.107895,-643.233521
1733470116,6.205771,-0.470311,-1.030405,0.610225,-1.264256,-3.205398,-0.636383,-63.048813,-642.626709
1733470116,6.684611,0.359579,-1.390582,0.446766,-0.776281,-3.007425,0.022034,-62.051422,-642.747681
1733470116,7.105392,1.042376,-1.634043,0.299908,-0.303146,-2.831681,0.242767,-61.026123,-643.719788
1733470116,7.915979,1.757344,-1.494431,0.185006,0.031418,-2.616876,0.754288,-60.079514,-642.653259
1733470116,8.893112,2.440889,-1.172261,0.164869,0.106126,-2.344368,1.121201,-59.118835,-643.298096
1733470116,9.734076,2.992154,-1.093552,0.197066,0.054966,-2.024056,1.587372,-58.515167,-642.596497
1733470116,10.458322,3.386,-0.750433,0.271628,-0.189338,-1.675548,1.693909,-57.850571,-642.850037
1733470116,10.553192,3.353828,-0.456993,0.324654,-0.479878,-1.360315,1.675049,-57.599854,-643.950195
1733470116,10.110414,2.924966,-0.469114,0.316482,-0.711119,-1.165398,1.686905,-57.085907,-643.595764
1733470116,9.603292,2.48159,-0.847098,0.29821,-0.754297,-1.023742,1.690842,-56.485199,-644.278687
1733470116,9.473407,2.634969,-1.336713,0.297881,-0.644116,-0.859582,1.445709,-56.322495,-644.076416
1733470116,9.266009,2.500444,-1.382651,0.282248,-0.464878,-0.725886,1.084595,-56.25029,-643.668213
1733470116,9.726744,2.111686,-1.155651,0.229481,-0.317213,-0.606052,1.004303,-56.203522,-644.636169
1733470116,11.076924,1.828272,-0.820313,0.18058,-0.28954,-0.47575,0.4758,-56.09227,-644.532349
1733470116,12.203545,1.163732,-0.419285,0.196438,-0.463919,-0.412891,-0.061234,-56.1138,-645.66687
1733470116,13.045257,-0.035015,-0.190189,0.262965,-0.707245,-0.492589,-0.959656,-55.796036,-645.489258
1733470116,14.357878,-1.323245,0.01661,0.274229,-1.026327,-0.693705,-1.073593,-55.570572,-645.666016
1733470116,16.505626,-2.002151,-0.21069,0.213735,-1.227644,-0.836779,-1.83847,-55.294678,-646.696289
1733470116,19.583223,-1.846079,-1.608455,0.147391,-1.03059,-0.879874,-2.296219,-55.101364,-646.466125
