SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1733469278,-3.29921,-2.818275,-8.491784,0.122992,-0.333591,0.056618,-61.49588,-25.169861,-656.512695
1733469278,-3.035249,-2.602647,-8.700678,0.119439,-0.244063,0.092567,-61.358932,-25.194641,-656.656982
1733469278,-2.879177,-2.472612,-8.889371,0.064577,-0.093565,0.13965,-61.093658,-25.302048,-656.607849
1733469278,-3.097199,-2.434005,-8.936657,0.009986,0.005951,0.145182,-61.499603,-25.349045,-656.814697
1733469278,-3.643975,-2.57676,-8.949077,-0.027304,0.146262,0.154326,-61.083313,-25.339874,-657.081177
1733469278,-3.778649,-2.461838,-9.170541,-0.083035,0.286984,0.140405,-61.19577,-25.143982,-656.374207
1733469278,-4.013879,-2.620753,-9.312696,-0.147017,0.388615,0.118757,-60.875854,-25.219803,-656.832031
1733469278,-3.969586,-2.628085,-9.393351,-0.191595,0.446172,0.123063,-60.589279,-25.12915,-656.140991
1733469278,-3.759346,-2.527978,-9.471462,-0.198423,0.462861,0.153891,-60.556763,-25.028458,-656.983643
1733469278,-3.581576,-2.453159,-9.554361,-0.157477,0.433928,0.183169,-60.232086,-25.006882,-656.049194
1733469278,-3.529951,-2.434454,-9.68694,-0.077794,0.375627,0.196536,-60.295959,-24.756958,-656.133789
1733469278,-3.538032,-2.527529,-9.725397,0.024707,0.290162,0.182747,-60.135574,-24.514206,-656.878296
1733469278,-3.614796,-2.600253,-9.63322,0.127013,0.196155,0.148709,-59.845901,-24.741943,-656.629456
1733469278,-3.670311,-2.690783,-9.565285,0.209724,0.1239,0.101896,-59.841461,-24.741837,-657.242737
1733469278,-3.6543,-2.676717,-9.425373,0.270349,0.105849,0.068908,-59.770309,-25.013275,-656.661194
1733469278,-3.535787,-2.607136,-9.296386,0.290003,0.145072,0.065605,-59.683823,-25.046051,-656.990784
1733469278,-3.263147,-2.520047,-9.080908,0.269643,0.21674,0.093545,-59.751907,-25.055588,-657.796997
1733469278,-3.008913,-2.465728,-8.809764,0.226334,0.308814,0.132036,-59.532654,-25.189194,-657.005249
1733469278,-2.833089,-2.459593,-8.611494,0.17352,0.418062,0.172963,-59.313324,-25.227707,-657.924988
