서울시기준일,서울시 일자별 확진자,서울시 누적 확진자,서울시 일자별 사망자,서울시 누적 사망자,연월,월일
2020-01-19,0,0,0,0,2020-01,01-19
2020-01-20,0,0,0,0,2020-01,01-20
2020-01-21,0,0,0,0,2020-01,01-21
2020-01-22,0,0,0,0,2020-01,01-22
2020-01-23,0,0,0,0,2020-01,01-23
2020-01-24,1,1,0,0,2020-01,01-24
2020-01-25,0,1,0,0,2020-01,01-25
2020-01-26,0,1,0,0,2020-01,01-26
2020-01-27,0,1,0,0,2020-01,01-27
2020-01-28,0,1,0,0,2020-01,01-28
2020-01-29,0,1,0,0,2020-01,01-29
2020-01-30,3,4,0,0,2020-01,01-30
2020-01-31,3,7,0,0,2020-01,01-31
2020-02-01,0,7,0,0,2020-02,02-01
2020-02-02,1,8,0,0,2020-02,02-02
2020-02-03,0,8,0,0,2020-02,02-03
2020-02-04,0,8,0,0,2020-02,02-04
2020-02-05,2,10,0,0,2020-02,02-05
2020-02-06,2,12,0,0,2020-02,02-06
2020-02-07,0,12,0,0,2020-02,02-07
2020-02-08,0,12,0,0,2020-02,02-08
2020-02-09,0,12,0,0,2020-02,02-09
2020-02-10,0,12,0,0,2020-02,02-10
2020-02-11,0,12,0,0,2020-02,02-11
2020-02-12,0,12,0,0,2020-02,02-12
2020-02-13,0,12,0,0,2020-02,02-13
2020-02-14,0,12,0,0,2020-02,02-14
2020-02-15,0,12,0,0,2020-02,02-15
2020-02-16,2,14,0,0,2020-02,02-16
2020-02-17,0,14,0,0,2020-02,02-17
2020-02-18,0,14,0,0,2020-02,02-18
2020-02-19,2,16,0,0,2020-02,02-19
2020-02-20,0,16,0,0,2020-02,02-20
2020-02-21,5,21,0,0,2020-02,02-21
2020-02-22,2,23,0,0,2020-02,02-22
2020-02-23,3,26,0,0,2020-02,02-23
2020-02-24,4,30,0,0,2020-02,02-24
2020-02-25,7,37,0,0,2020-02,02-25
2020-02-26,8,45,0,0,2020-02,02-26
2020-02-27,10,55,0,0,2020-02,02-27
2020-02-28,7,62,0,0,2020-02,02-28
2020-02-29,12,74,0,0,2020-02,02-29
2020-03-01,8,82,0,0,2020-03,03-01
2020-03-02,9,91,0,0,2020-03,03-02
2020-03-03,7,98,0,0,2020-03,03-03
2020-03-04,0,98,0,0,2020-03,03-04
2020-03-05,5,103,0,0,2020-03,03-05
2020-03-06,2,105,0,0,2020-03,03-06
2020-03-07,3,108,0,0,2020-03,03-07
2020-03-08,12,120,0,0,2020-03,03-08
2020-03-09,10,130,0,0,2020-03,03-09
2020-03-10,11,141,0,0,2020-03,03-10
2020-03-11,53,194,0,0,2020-03,03-11
2020-03-12,19,213,0,0,2020-03,03-12
2020-03-13,12,225,0,0,2020-03,03-13
2020-03-14,13,238,0,0,2020-03,03-14
2020-03-15,9,247,0,0,2020-03,03-15
2020-03-16,6,253,0,0,2020-03,03-16
2020-03-17,12,265,0,0,2020-03,03-17
2020-03-18,5,270,0,0,2020-03,03-18
2020-03-19,12,282,0,0,2020-03,03-19
2020-03-20,17,299,0,0,2020-03,03-20
2020-03-21,15,314,0,0,2020-03,03-21
2020-03-22,10,324,0,0,2020-03,03-22
2020-03-23,6,330,0,0,2020-03,03-23
2020-03-24,4,334,0,0,2020-03,03-24
2020-03-25,13,347,0,0,2020-03,03-25
2020-03-26,13,360,0,0,2020-03,03-26
2020-03-27,12,372,0,0,2020-03,03-27
2020-03-28,18,390,0,0,2020-03,03-28
2020-03-29,20,410,0,0,2020-03,03-29
2020-03-30,16,426,0,0,2020-03,03-30
2020-03-31,24,450,0,0,2020-03,03-31
2020-04-01,24,474,0,0,2020-04,04-01
2020-04-02,14,488,0,0,2020-04,04-02
2020-04-03,18,506,0,0,2020-04,04-03
2020-04-04,22,528,0,0,2020-04,04-04
2020-04-05,24,552,0,0,2020-04,04-05
2020-04-06,11,563,0,0,2020-04,04-06
2020-04-07,4,567,0,0,2020-04,04-07
2020-04-08,11,578,1,1,2020-04,04-08
2020-04-09,12,590,0,1,2020-04,04-09
2020-04-10,5,595,0,1,2020-04,04-10
2020-04-11,4,599,0,1,2020-04,04-11
2020-04-12,3,602,0,1,2020-04,04-12
2020-04-13,8,610,0,1,2020-04,04-13
2020-04-14,2,612,0,1,2020-04,04-14
2020-04-15,5,617,0,1,2020-04,04-15
2020-04-16,2,619,0,1,2020-04,04-16
2020-04-17,2,621,0,1,2020-04,04-17
2020-04-18,1,622,0,1,2020-04,04-18
2020-04-19,2,624,0,1,2020-04,04-19
2020-04-20,0,624,0,1,2020-04,04-20
2020-04-21,2,626,0,1,2020-04,04-21
2020-04-22,2,628,0,1,2020-04,04-22
2020-04-23,0,628,0,1,2020-04,04-23
2020-04-24,0,628,0,1,2020-04,04-24
2020-04-25,1,629,0,1,2020-04,04-25
2020-04-26,0,629,0,1,2020-04,04-26
2020-04-27,0,629,0,1,2020-04,04-27
2020-04-28,4,633,0,1,2020-04,04-28
2020-04-29,0,633,0,1,2020-04,04-29
2020-04-30,0,633,0,1,2020-04,04-30
2020-05-01,1,634,0,1,2020-05,05-01
2020-05-02,1,635,0,1,2020-05,05-02
2020-05-03,2,637,0,1,2020-05,05-03
2020-05-04,0,637,0,1,2020-05,05-04
2020-05-05,0,637,0,1,2020-05,05-05
2020-05-06,0,637,0,1,2020-05,05-06
2020-05-07,0,637,0,1,2020-05,05-07
2020-05-08,0,637,0,1,2020-05,05-08
2020-05-09,12,649,0,1,2020-05,05-09
2020-05-10,14,663,0,1,2020-05,05-10
2020-05-11,21,684,0,1,2020-05,05-11
2020-05-12,12,696,0,1,2020-05,05-12
2020-05-13,11,707,1,2,2020-05,05-13
2020-05-14,4,711,1,3,2020-05,05-14
2020-05-15,14,725,0,3,2020-05,05-15
2020-05-16,5,730,0,3,2020-05,05-16
2020-05-17,5,735,0,3,2020-05,05-17
2020-05-18,1,736,0,3,2020-05,05-18
2020-05-19,6,742,0,3,2020-05,05-19
2020-05-20,10,752,0,3,2020-05,05-20
2020-05-21,4,756,0,3,2020-05,05-21
2020-05-22,2,758,0,3,2020-05,05-22
2020-05-23,4,762,0,3,2020-05,05-23
2020-05-24,6,768,0,3,2020-05,05-24
2020-05-25,6,774,0,3,2020-05,05-25
2020-05-26,9,783,0,3,2020-05,05-26
2020-05-27,19,802,0,3,2020-05,05-27
2020-05-28,24,826,0,3,2020-05,05-28
2020-05-29,20,846,0,3,2020-05,05-29
2020-05-30,9,855,0,3,2020-05,05-30
2020-05-31,6,861,0,3,2020-05,05-31
2020-06-01,1,862,0,3,2020-06,06-01
2020-06-02,14,876,0,3,2020-06,06-02
2020-06-03,19,895,0,3,2020-06,06-03
2020-06-04,14,909,0,3,2020-06,06-04
2020-06-05,15,924,0,3,2020-06,06-05
2020-06-06,23,947,0,3,2020-06,06-06
2020-06-07,27,974,0,3,2020-06,06-07
2020-06-08,21,995,0,3,2020-06,06-08
2020-06-09,19,1014,0,3,2020-06,06-09
2020-06-10,12,1026,0,3,2020-06,06-10
2020-06-11,21,1047,0,3,2020-06,06-11
2020-06-12,25,1072,0,3,2020-06,06-12
2020-06-13,29,1101,0,3,2020-06,06-13
2020-06-14,12,1113,0,3,2020-06,06-14
2020-06-15,7,1120,0,3,2020-06,06-15
2020-06-16,12,1132,0,3,2020-06,06-16
2020-06-17,13,1145,1,4,2020-06,06-17
2020-06-18,25,1170,1,5,2020-06,06-18
2020-06-19,18,1188,0,5,2020-06,06-19
2020-06-20,14,1202,0,5,2020-06,06-20
2020-06-21,17,1219,0,5,2020-06,06-21
2020-06-22,5,1224,0,5,2020-06,06-22
2020-06-23,6,1230,0,5,2020-06,06-23
2020-06-24,11,1241,0,5,2020-06,06-24
2020-06-25,9,1250,1,6,2020-06,06-25
2020-06-26,17,1267,0,6,2020-06,06-26
2020-06-27,17,1284,0,6,2020-06,06-27
2020-06-28,14,1298,0,6,2020-06,06-28
2020-06-29,7,1305,0,6,2020-06,06-29
2020-06-30,7,1312,0,6,2020-06,06-30
2020-07-01,9,1321,0,6,2020-07,07-01
2020-07-02,13,1334,0,6,2020-07,07-02
2020-07-03,12,1346,0,6,2020-07,07-03
2020-07-04,7,1353,1,7,2020-07,07-04
2020-07-05,16,1369,0,7,2020-07,07-05
2020-07-06,3,1372,0,7,2020-07,07-06
2020-07-07,3,1375,0,7,2020-07,07-07
2020-07-08,10,1385,0,7,2020-07,07-08
2020-07-09,8,1393,1,8,2020-07,07-09
2020-07-10,8,1401,0,8,2020-07,07-10
2020-07-11,8,1409,0,8,2020-07,07-11
2020-07-12,7,1416,0,8,2020-07,07-12
2020-07-13,13,1429,0,8,2020-07,07-13
2020-07-14,7,1436,0,8,2020-07,07-14
2020-07-15,6,1442,0,8,2020-07,07-15
2020-07-16,7,1449,0,8,2020-07,07-16
2020-07-17,9,1458,0,8,2020-07,07-17
2020-07-18,6,1464,0,8,2020-07,07-18
2020-07-19,10,1474,1,9,2020-07,07-19
2020-07-20,3,1477,0,9,2020-07,07-20
2020-07-21,21,1498,0,9,2020-07,07-21
2020-07-22,16,1514,1,10,2020-07,07-22
2020-07-23,12,1526,0,10,2020-07,07-23
2020-07-24,21,1547,0,10,2020-07,07-24
2020-07-25,11,1558,0,10,2020-07,07-25
2020-07-26,7,1565,0,10,2020-07,07-26
2020-07-27,9,1574,0,10,2020-07,07-27
2020-07-28,6,1580,0,10,2020-07,07-28
2020-07-29,9,1589,0,10,2020-07,07-29
2020-07-30,3,1592,0,10,2020-07,07-30
2020-07-31,8,1600,0,10,2020-07,07-31
2020-08-01,2,1602,0,10,2020-08,08-01
2020-08-02,5,1607,0,10,2020-08,08-02
2020-08-03,5,1612,0,10,2020-08,08-03
2020-08-04,9,1621,0,10,2020-08,08-04
2020-08-05,6,1627,1,11,2020-08,08-05
